time,platform_code,platform_type,country
2021-07-11 08:28:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 10:14:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 11:34:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 13:01:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 14:21:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 15:08:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 15:15:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 16:04:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 16:15:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 17:34:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 18:52:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 20:20:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 21:31:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 22:49:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-12 00:08:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-12 01:36:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-12 02:43:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-12 03:56:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-12 05:11:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-12 06:28:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-12 07:32:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-12 08:50:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-12 09:55:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-12 12:21:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-12 14:32:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-12 16:41:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-12 18:49:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-12 21:02:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-12 23:15:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-13 00:00:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-13 01:24:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-13 03:12:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-13 05:18:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-13 07:07:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-13 09:13:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-13 11:23:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-13 13:08:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-13 15:21:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-13 17:06:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-13 19:10:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-13 20:57:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-13 23:05:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-14 00:00:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-14 00:52:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-14 02:56:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-14 04:40:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-14 06:52:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-14 09:01:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-14 10:58:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-14 11:50:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-14 12:29:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-14 13:00:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-14 13:32:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-14 14:03:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-14 14:37:00+00:00,4802960,GLIDERS,UNITED STATES

